route_id,total_stops,planned_distance,actual_distance,deviation_count,sla_violation_count,route_start_time,route_end_time,distance_deviation,distance_efficiency_ratio,route_duration,sla_violation_rate,deviation_rate,driver_id,week_id,country,is_inefficient_route,has_sla_violation,high_deviation_route,positive_deviation_route,distance_efficiency_bucket,sla_risk_level,distance_loss_per_stop
85,12,26.277175469,28.069363851,11,2,429.287,801.27,1.792188381999999,1.0682032353178255,371.983,0.16666666666666666,0.9166666666666666,85,0,0,0,1,1,0,slightly inefficient,low,0.14934903183333326
86,3,15.799921740999999,15.799921740999999,0,2,550.919,550.919,0.0,1.0,0.0,0.6666666666666666,0.0,86,0,1,0,1,0,0,efficient,high,0.0
87,10,46.830322722,29.613291769,9,3,493.568,884.29,-17.217030953,0.6323529296348034,390.722,0.3,0.9,87,0,0,0,1,1,1,efficient,high,-1.7217030952999999
88,9,78.963172698,68.894833169,4,1,614.72,850.135,-10.068339529,0.8724932245629612,235.41499999999996,0.1111111111111111,0.4444444444444444,88,0,0,0,1,0,1,efficient,low,-1.118704392111111
89,6,60.378926124,60.378926124,0,1,623.178,985.11,0.0,1.0,361.932,0.16666666666666666,0.0,89,0,0,0,1,0,0,efficient,low,0.0
90,5,61.929527359000005,61.929527359000005,0,0,475.764,475.764,0.0,1.0,0.0,0.0,0.0,90,0,0,0,0,0,0,efficient,none,0.0
91,8,90.904635568,62.881926638,7,0,334.556,750.083,-28.02270893,0.691735094091676,415.527,0.0,0.875,91,0,0,0,0,1,1,efficient,none,-3.50283861625
92,10,58.502426195,105.37445765300001,8,9,570.342,570.749,46.87203145800001,1.801198078550903,0.4070000000000391,0.9,0.8,92,0,0,1,1,1,0,highly inefficient,high,4.687203145800001
93,8,34.850866568,27.321797974,6,7,575.282,575.652,-7.529068594000002,0.7839632314648618,0.37000000000000455,0.875,0.75,93,0,0,0,1,1,1,efficient,high,-0.9411335742500002
94,9,32.898207777,40.599818565999996,6,0,48.238,415.269,7.701610788999993,1.2341042661413426,367.031,0.0,0.6666666666666666,1,0,1,1,0,1,0,highly inefficient,none,0.8557345321111103
95,9,13.277320087,13.464239765999999,6,0,166.838,455.408,0.18691967899999895,1.0140781180068872,288.57000000000005,0.0,0.6666666666666666,2,0,1,0,0,1,0,slightly inefficient,none,0.020768853222222106
96,6,19.050609889,16.667151194,4,0,177.93,360.864,-2.3834586950000016,0.8748880634852413,182.93399999999997,0.0,0.6666666666666666,0,0,1,0,0,1,1,efficient,none,-0.3972431158333336
